iter	Logloss	Accuracy
717	0.1076565532	0.9711832061
718	0.1075436699	0.9716603053
719	0.1074372031	0.9720419847
720	0.1073332939	0.9719465649
721	0.1072393625	0.9720419847
722	0.107142307	0.971851145
723	0.1070702984	0.9719465649
724	0.1069338098	0.971851145
725	0.1068221616	0.9721374046
726	0.106707648	0.9719465649
727	0.1065924726	0.9721374046
728	0.1064918786	0.9721374046
729	0.1064478011	0.9721374046
730	0.1063147245	0.9722328244
731	0.1062444591	0.9722328244
732	0.1061644384	0.9723282443
733	0.1061109033	0.9723282443
734	0.1060073725	0.9727099237
735	0.1059795698	0.9726145038
736	0.105864942	0.9726145038
737	0.1056666306	0.972519084
738	0.1055821829	0.972519084
739	0.1055222563	0.9726145038
740	0.105471928	0.9726145038
741	0.1053345758	0.9727099237
742	0.1052970828	0.9726145038
743	0.105152164	0.9726145038
744	0.1050562171	0.9727099237
745	0.1049036447	0.9727099237
746	0.1047896353	0.9728053435
747	0.1046274833	0.9729007634
748	0.1045376628	0.9729961832
749	0.104413958	0.9729961832
750	0.1042632471	0.9730916031
751	0.1041042923	0.9732824427
752	0.1040517359	0.9732824427
753	0.1039586268	0.9734732824
754	0.1039384956	0.9734732824
755	0.1038671725	0.9734732824
756	0.1038157589	0.9734732824
757	0.103652654	0.9735687023
758	0.1034778933	0.9736641221
759	0.1034159333	0.9736641221
760	0.103323069	0.973759542
761	0.1032258495	0.973759542
762	0.1031459887	0.9736641221
763	0.1030663496	0.973759542
764	0.1029403961	0.973759542
765	0.1028722391	0.973759542
766	0.1027250202	0.9738549618
767	0.1026411706	0.973759542
768	0.1025244341	0.9740458015
769	0.1024463941	0.9740458015
770	0.102334147	0.9741412214
771	0.1022319093	0.9742366412
772	0.10215325	0.9742366412
773	0.1020425807	0.9742366412
774	0.1019671911	0.9744274809
775	0.1018648162	0.9742366412
776	0.1017606774	0.9744274809
777	0.1016389056	0.9745229008
778	0.1014411289	0.9747137405
779	0.1013521305	0.9748091603
780	0.1012564705	0.9749045802
781	0.1011479475	0.9749045802
782	0.101084832	0.9747137405
783	0.1010256318	0.9747137405
784	0.1009906586	0.9747137405
785	0.1008997221	0.9748091603
786	0.1008069727	0.9748091603
787	0.1007551756	0.9748091603
788	0.1007114441	0.9748091603
789	0.1005665809	0.9749045802
790	0.100513958	0.975
791	0.100412213	0.9751908397
792	0.100329596	0.9751908397
793	0.1001909886	0.9752862595
794	0.1000935881	0.9752862595
795	0.09997812332	0.9754770992
796	0.09994190978	0.9754770992
797	0.09986867723	0.9754770992
798	0.09971564598	0.9754770992
799	0.09968927088	0.9754770992
800	0.09962495601	0.9754770992
801	0.09946191362	0.9756679389
802	0.09939959925	0.9757633588
803	0.09921877415	0.9759541985
804	0.09911504894	0.9759541985
805	0.09908360325	0.9759541985
806	0.09899785742	0.9759541985
807	0.09890532242	0.9759541985
808	0.09882461816	0.9760496183
809	0.09873429318	0.9760496183
810	0.09863439487	0.9760496183
811	0.09852459127	0.9760496183
812	0.09848207946	0.9760496183
813	0.09839167869	0.9760496183
814	0.09827898404	0.9759541985
815	0.0981673056	0.9760496183
816	0.09809449679	0.9760496183
817	0.097986678	0.9761450382
818	0.09789720917	0.9764312977
819	0.09780441002	0.9763358779
820	0.09770247991	0.9763358779
821	0.09761977347	0.9764312977
822	0.09751471827	0.9764312977
823	0.09745808039	0.9763358779
824	0.0973753995	0.9764312977
825	0.09727965674	0.9764312977
826	0.09721838599	0.976240458
827	0.09707870836	0.9763358779
828	0.09696789325	0.9763358779
829	0.0969282624	0.9763358779
830	0.09684580674	0.9764312977
831	0.09675677424	0.9764312977
832	0.0966852066	0.9765267176
833	0.09659968873	0.9764312977
834	0.0965174282	0.9763358779
835	0.09645820455	0.9765267176
836	0.09638331616	0.9765267176
837	0.09634473034	0.9767175573
838	0.09625723036	0.9766221374
839	0.09614388465	0.9769083969
840	0.09611676127	0.9769083969
841	0.09600911013	0.9769083969
842	0.09593296662	0.9769083969
843	0.09587723515	0.9770038168
844	0.09574378906	0.9770992366
845	0.09556790047	0.9771946565
846	0.09548994078	0.9770992366
847	0.09539801194	0.9770992366
848	0.09534921197	0.9770992366
849	0.09529327045	0.9770992366
850	0.09521637308	0.9770992366
851	0.09514267225	0.9770992366
852	0.09502903597	0.9771946565
853	0.09494678696	0.9772900763
854	0.09488607676	0.9772900763
855	0.09481760667	0.9772900763
856	0.09471631685	0.9773854962
857	0.0946172973	0.9773854962
858	0.09451003327	0.9773854962
859	0.09445447938	0.9773854962
860	0.09443278252	0.9773854962
861	0.09436307775	0.9773854962
862	0.0942655591	0.9773854962
863	0.09418969079	0.9773854962
864	0.09407367669	0.9773854962
865	0.09401738283	0.977480916
866	0.0939937199	0.9775763359
867	0.09392281577	0.9775763359
868	0.09385495687	0.9775763359
869	0.09378778887	0.9777671756
870	0.0936724715	0.9777671756
871	0.09360046474	0.9777671756
872	0.09347385294	0.9776717557
873	0.09337873564	0.977480916
874	0.09329503435	0.977480916
875	0.09324825806	0.9773854962
876	0.09320512031	0.977480916
877	0.09312854771	0.9775763359
878	0.09305286431	0.9775763359
